product_name,price,unit,unit_price,image_name,integration_date,supermarket
Danone natúr joghurt vagy kefir,269,Ft/cs,1kg=517Ft,danone-natur-joghurt-vagy-kefir-2004005140905-1-5k.png,2021-11-04 16:21:51.858490,tesco
Datolyaszilva,149,Ft/db,,datolyaszilva-2004003262395-1-5k.png,2021-11-04 16:21:51.867481,tesco
DC figurák,3599,Ft/db,,dc-figurak-2005100615436-2-5k.png,2021-11-04 16:21:51.868377,tesco
Dettol antibakteriális tisztítóspray,899,Ft,1l=1798Ft,dettol-antibakterialis-tisztito-spray-2004120733937-1-5k.png,2021-11-04 16:21:51.869975,tesco
Diablo mogyorókrém,1299,Ft,1kg=3711Ft,diablo-mogyorokrem-2004020276223-1-5k.png,2021-11-04 16:21:51.869975,tesco
Dino mentõakció társasjáték,6799,Ft,,dino-mentoakcio-tarsasjatek-2005100611067-2-5k.png,2021-11-04 16:21:51.869975,tesco
Dino Valley dino-torony szett,11090,Ft/szett,,dino-valley-dino-torony-szett-2005100603253-1-5k.png,2021-11-04 16:21:51.869975,tesco
Dino Valley laboratóriumi kitörési játékszett,7499,Ft/szett,,dino-valley-laboratoriumi-kitoresi-jatekszett-2005100596167-1-5k.png,2021-11-04 16:21:51.869975,tesco
Dino Valley teherszállító autó,5999,Ft/szett,,dino-valley-teherszallito-auto-2005100596166-1-5k.png,2021-11-04 16:21:51.877161,tesco
Dinós készlet,2999,Ft/szett,,dinos-keszlet-2005100608306-1-5k.png,2021-11-04 16:21:51.877161,tesco
Domestos fertõtlenítõ és fehérítõ hatású tisztítószer,549,Ft/db,,,2021-11-04 16:21:51.880284,tesco
Domestos fertõtlenítõ vagy fehérítõ hatású tisztítószer,549,Ft/db,,,2021-11-04 16:21:51.880284,tesco
Dörmi piskóta multipack,369,Ft/cs,1kg=2460Ft,dormi-piskota-multipack-2004010849169-1-5k.png,2021-11-04 16:21:51.880284,tesco
Dr. Oetker Brownies alappor,769,Ft,1kg=1764Ft,dr-oetker-muffin-vagy-brownies-alapporok-2004010093111-1-5k.png,2021-11-04 16:21:51.885532,tesco
Dr. Oetker ét tortabevonó,399,Ft,1kg=3990Ft,dr-oetker-et-tortabevono-2004003008672-1-5k.png,2021-11-04 16:21:51.887259,tesco
Dr. Oetker Finesse reszelt citromhéj,419,Ft/cs,,2004120675936-1-5k.png,2021-11-04 16:21:51.888300,tesco
Dr.Oetker szárított rozskovász,149,Ft,,dr-oetker-szaritott-rozskovasz-2004020302895-1-5k.png,2021-11-04 16:21:51.889300,tesco
Dreamies jutalomfalat megapack,729,Ft/db,,,2021-11-04 16:21:51.889300,tesco
Duck toalett-tisztító gél,449,Ft,1l=599Ft,duck-toalett-tisztito-gel-2004009633298-1-5k.png,2021-11-04 16:21:51.889300,tesco
Edami félkemény vagy Gouda zsíros sajt,1899,Ft/kg,,edami-fekemeny-sajt-2004003149245-1-5k.png,2021-11-04 16:21:51.889300,tesco
Édes teasüteménymix,899,Ft,1kg=2248Ft,edes-teasutemeny-mix-2004020324682-1-5k.png,2021-11-04 16:21:51.889300,tesco
Eduscho Dupla vagy Wiener Extra õrölt kávé,1799,Ft/cs,,eduscho-dupla-vagy-wiener-extra-orolt-kave-2004020312066-1-5k.png,2021-11-04 16:21:51.889300,tesco
"Egri Bikavér classicus száraz vörösbor 12,5% 750 ml",529,Ft/db,1l=705.33Ft,egri-bikaver-classicus-szaraz-vorosbor-12-5-750-ml-2004120168045.jpg,2021-11-04 16:21:51.889300,tesco
Enchantimals királyi hintó,7799,Ft/szett,,enchantimals-kiralyi-hinto-2005100620594-1-5k.png,2021-11-04 16:21:51.897504,tesco
Expedition Trooper távirányítós autó,21490,Ft,,expedition-trooper-taviranyitos-auto-2005100597654-1-5k.png,2021-11-04 16:21:51.899618,tesco
Extra nagy méretû állatos plüssválogatás,4699,Ft/db,,allatos-pluss-valogatas-2005100611433-1-5k.png,2021-11-04 16:21:51.899618,tesco
F&F Basics üdítõspohár,195,Ft/db,1db=195Ft,f-f-basics-uditospohar-2005112807637.png,2021-11-04 16:21:51.902140,tesco
F&F Home Basics fehér arctörlõ 30 cm x 30 cm,199,Ft/db,1db=199Ft,f-f-home-basics-feher-arctorlo-30-cm-x-30-cm-2005111146829.jpg,2021-11-04 16:21:51.903139,tesco
F&F Home Basics fehér kéztörlõ 50 cm x 90 cm,599,Ft/db,1db=599Ft,f-f-home-basics-feher-keztorlo-50-cm-x-90-cm-2005111146881.jpg,2021-11-04 16:21:51.903139,tesco
F&F Home Basics röviditalos pohár 6 db,489,Ft/db,1db=81.5Ft,f-f-home-basics-roviditalos-pohar-6-db-2005102364362.png,2021-11-04 16:21:51.903139,tesco
F&F Home Basics teamécses 100 db,899,Ft/db,1db=8.99Ft,f-f-home-basics-teamecses-100-db-2005101259867.png,2021-11-04 16:21:51.903139,tesco
Fa csocsóasztal,5599,Ft,,fa-csocsoasztal-2005100503556-1-5k.png,2021-11-04 16:21:51.907822,tesco
Fa egyensúlyozó állatok játék,3499,Ft,,fa-egyensulyozo-allatok-jatek-2005100608290-1-5k.png,2021-11-04 16:21:51.907822,tesco
Fa építõ autószállító,6299,Ft/szett,,fa-epito-autoszallito-2005100608323-1-5k.png,2021-11-04 16:21:51.909912,tesco
Fa mágneses doboz,3699,Ft,,fa-farm-magneses-doboz-2005100608294-1-5k.png,2021-11-04 16:21:51.909912,tesco
Fa vonatszett,5799,Ft/szett,,fa-vonat-szett-2005100600507-1-5k.png,2021-11-04 16:21:51.909912,tesco
Falk pedálos traktor utánfutóval,19990,Ft,,falk-pedalos-traktor-utanfutoval-2005100425106-1-5k.png,2021-11-04 16:21:51.909912,tesco
Familia Harmónia rúd,299,Ft,1kg=2990Ft,familia-harmonia-rud-2004120149356-1-5k.png,2021-11-04 16:21:51.909912,tesco
Favourite Friends Brooke játék baba,6699,Ft/db,,favourite-friends-brooke-jatekbaba-2005100380747-1-5k.png,2021-11-04 16:21:51.919518,tesco
Fehér szõlõ lédig,89,Ft/db,1kg=899Ft,feher-szolo-ledig-2004007592795.png,2021-11-04 16:21:51.920520,tesco
Félbarna kenyér 1 kg,279,Ft/db,1kg=279Ft,felbarna-kenyer-1-kg-2004008607610.png,2021-11-04 16:21:51.920520,tesco
Fémdobozos panettone,3999,Ft/db,,femdobozos-panettone-2005100429379-2-5k.png,2021-11-04 16:21:51.920520,tesco
Fémszánkó,5199,Ft,,femszanko-2005100388164-1-5k.png,2021-11-04 16:21:51.920520,tesco
Fisher-Price labdává alakuló majom,4599,Ft,,fisher-price-labdava-alakulo-vizilo-2005100363846-1-5k.png,2021-11-04 16:21:51.920520,tesco
"Fõtt, préselt, fél császárszalonna",319,Ft/db,1kg=3190Ft,fott-preselt-fel-csaszarszalonna-2004007604658.png,2021-11-04 16:21:51.920520,tesco
Fox & Ivy kacsatollas paplan,10190,Ft,,fox-ivy-kacsatollas-paplan-2005100494591-1-5k.png,2021-11-04 16:21:51.930749,tesco
Fred & Flo 5 Junior 11-18 kg pelenka 88 db,4599,Ft/db,1db=52.26Ft,fred-flo-5-junior-11-18-kg-pelenka-88-db-2005100501502.png,2021-11-04 16:21:51.930749,tesco
Fred & Flo fültisztító pálcika 60 db,169,Ft/db,1db=2.82Ft,fred-flo-fultisztito-palcika-60-db-2005100444098.png,2021-11-04 16:21:51.930749,tesco
Fred&Flo babatörlõ kendõ,1899,Ft/cs,1db=6.59Ft,fred-flo-baba-torlokendo-4x72-db-os-multipack-2005100295268-1-5k.png,2021-11-04 16:21:51.930749,tesco
Frico szeletelt sajt,399,Ft/cs,1kg=3990Ft,frico-szeletelt-sajt-2004120787942-1-5k.png,2021-11-04 16:21:51.935234,tesco
Friskies száraz macskaeledel,1099,Ft,,friskies-szaraz-macskaeledel-2004009529171-1-5k.png,2021-11-04 16:21:51.936235,tesco
Friss csirkecomb farrésszel,119,Ft/db,1kg=599Ft,friss-csirkecomb-farresszel-2004008315102.png,2021-11-04 16:21:51.937232,tesco
Friss csirkemellfilé,1269,Ft/kg,,friss-csirkemellfile-2004003176258-1-5k.png,2021-11-04 16:21:51.938876,tesco
Friss magyar csirke far-hát,189,Ft/kg,,friss-magyar-csirkefarhat-2004002638177-1-5k.png,2021-11-04 16:21:51.938876,tesco
Friss magyar csirkecomb,499,Ft/kg,,friss-magyar-csirkecomb-2004002638160-1-5k.png,2021-11-04 16:21:51.940959,tesco
Friss magyar egész liba,1699,Ft/kg,,friss-magyar-egesz-liba-2004120246362-1-5k.png,2021-11-04 16:21:51.940959,tesco
Friss magyar liba mellfilé,3499,Ft/kg,,friss-magyar-liba-mellfile-2004007450484-1-5k.png,2021-11-04 16:21:51.940959,tesco
